,keywords,total kemunculan,tf,idf,tf_idf
413,ulp,12,0.0008157161307864863,-2.4849066497880004,-0.002026978437730678
271,proses,11,0.0007477397865542792,-2.3978952727983707,-0.0017930016994617687
326,admin,11,0.0007477397865542792,-2.3978952727983707,-0.0017930016994617687
90,tes,11,0.0007477397865542792,-2.3978952727983707,-0.0017930016994617687
33,salah,11,0.0007477397865542792,-2.3978952727983707,-0.0017930016994617687
193,perangk,11,0.0007477397865542792,-2.3978952727983707,-0.0017930016994617687
29,can,10,0.0006797634423220719,-2.3025850929940455,-0.0015652131690531202
713,custo,10,0.0006797634423220719,-2.3025850929940455,-0.0015652131690531202
63,perangkat,10,0.0006797634423220719,-2.3025850929940455,-0.0015652131690531202
41,jadi,10,0.0006797634423220719,-2.3025850929940455,-0.0015652131690531202
95,hasil,10,0.0006797634423220719,-2.3025850929940455,-0.0015652131690531202
338,buat,10,0.0006797634423220719,-2.3025850929940455,-0.0015652131690531202
320,test,10,0.0006797634423220719,-2.3025850929940455,-0.0015652131690531202
642,laku,10,0.0006797634423220719,-2.3025850929940455,-0.0015652131690531202
184,kan,10,0.0006797634423220719,-2.3025850929940455,-0.0015652131690531202
122,fer,9,0.0006117870980898647,-2.1972245773362196,-0.0013442336480202553
253,kumpul,9,0.0006117870980898647,-2.1972245773362196,-0.0013442336480202553
9,so,9,0.0006117870980898647,-2.1972245773362196,-0.0013442336480202553
318,peng,9,0.0006117870980898647,-2.1972245773362196,-0.0013442336480202553
447,tabel,9,0.0006117870980898647,-2.1972245773362196,-0.0013442336480202553
251,jurnal,9,0.0006117870980898647,-2.1972245773362196,-0.0013442336480202553
211,langsung,9,0.0006117870980898647,-2.1972245773362196,-0.0013442336480202553
622,lunak,9,0.0006117870980898647,-2.1972245773362196,-0.0013442336480202553
499,dapat,9,0.0006117870980898647,-2.1972245773362196,-0.0013442336480202553
177,bah,9,0.0006117870980898647,-2.1972245773362196,-0.0013442336480202553
164,custom,9,0.0006117870980898647,-2.1972245773362196,-0.0013442336480202553
146,tangan,9,0.0006117870980898647,-2.1972245773362196,-0.0013442336480202553
218,jelas,9,0.0006117870980898647,-2.1972245773362196,-0.0013442336480202553
731,isi,9,0.0006117870980898647,-2.1972245773362196,-0.0013442336480202553
506,hr,9,0.0006117870980898647,-2.1972245773362196,-0.0013442336480202553
208,customer,8,0.0005438107538576575,-2.0794415416798357,-0.0011308226723838412
18,alan,8,0.0005438107538576575,-2.0794415416798357,-0.0011308226723838412
325,dengan,8,0.0005438107538576575,-2.0794415416798357,-0.0011308226723838412
709,giawan,8,0.0005438107538576575,-2.0794415416798357,-0.0011308226723838412
12,complaints,8,0.0005438107538576575,-2.0794415416798357,-0.0011308226723838412
402,that,8,0.0005438107538576575,-2.0794415416798357,-0.0011308226723838412
683,black,8,0.0005438107538576575,-2.0794415416798357,-0.0011308226723838412
261,dua,8,0.0005438107538576575,-2.0794415416798357,-0.0011308226723838412
473,tika,8,0.0005438107538576575,-2.0794415416798357,-0.0011308226723838412
270,saleh,8,0.0005438107538576575,-2.0794415416798357,-0.0011308226723838412
567,equence,7,0.0004758344096254503,-1.9459101490553135,-0.0009259310069599071
241,jalan,7,0.0004758344096254503,-1.9459101490553135,-0.0009259310069599071
152,cc,7,0.0004758344096254503,-1.9459101490553135,-0.0009259310069599071
556,logika,7,0.0004758344096254503,-1.9459101490553135,-0.0009259310069599071
576,vol,7,0.0004758344096254503,-1.9459101490553135,-0.0009259310069599071
530,ahmad,7,0.0004758344096254503,-1.9459101490553135,-0.0009259310069599071
67,yang,7,0.0004758344096254503,-1.9459101490553135,-0.0009259310069599071
74,yogyakarta,7,0.0004758344096254503,-1.9459101490553135,-0.0009259310069599071
75,umen,7,0.0004758344096254503,-1.9459101490553135,-0.0009259310069599071
423,oleh,7,0.0004758344096254503,-1.9459101490553135,-0.0009259310069599071
667,trik,7,0.0004758344096254503,-1.9459101490553135,-0.0009259310069599071
79,chat,7,0.0004758344096254503,-1.9459101490553135,-0.0009259310069599071
536,ph,7,0.0004758344096254503,-1.9459101490553135,-0.0009259310069599071
627,activity,7,0.0004758344096254503,-1.9459101490553135,-0.0009259310069599071
96,testing,7,0.0004758344096254503,-1.9459101490553135,-0.0009259310069599071
299,asal,7,0.0004758344096254503,-1.9459101490553135,-0.0009259310069599071
373,tahap,7,0.0004758344096254503,-1.9459101490553135,-0.0009259310069599071
362,ndo,7,0.0004758344096254503,-1.9459101490553135,-0.0009259310069599071
614,esuai,7,0.0004758344096254503,-1.9459101490553135,-0.0009259310069599071
555,butuh,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
28,sequence,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
178,ancang,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
316,bahas,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
165,name,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
682,pengadua,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
56,masalah,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
672,pela,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
558,spesifikasi,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
339,media,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
295,system,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
57,ikut,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
659,live,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
457,tulis,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
419,white,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
589,pemrograman,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
605,listrik,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
725,input,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
634,atur,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
458,ade,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
637,manual,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
630,untu,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
656,sesuai,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
651,with,6,0.00040785806539324316,-1.791759469228055,-0.0007307835507693787
451,kerja,5,0.00033988172116103594,-1.6094379124341003,-0.0005470185277799267
319,selao,5,0.00033988172116103594,-1.6094379124341003,-0.0005470185277799267
